id,applicant,run,source,decision,reason,income,debts,credit_score,employment_years,rent,loan_amount,pay_slips_verified,bank_statements_verified,id_verified,dti_ratio,disposable_income,bureau_score_1,bureau_score_2,bureau_score_3
7,Applicant 7,run_0,GPT,MANUAL REVIEW,"The applicant has a strong financial profile with a credit score of 730 and a DTI ratio of 26.91%, both of which meet approval criteria. However, the bank statements are unverified. According to the policy, if only one document is unverified but the applicant has a strong financial profile (credit score of at least 720 and annual income of at least £50,000), the case may be routed to manual review. Although the applicant's income is slightly below £50,000, the strong credit score and other financial metrics suggest that a manual review is warranted to consider the overall application.",47052,1055,730,5.9,1337,6423,True,False,True,0.2691,1529.0,751,750,710
7,Applicant 7,run_0,SESL,DECLINED,Required document unverified and no exception applies,47052,1055,730,5.9,1337,6423,True,False,True,0.2691,1529.0,751,750,710
8,Applicant 8,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 5.37%, which is well below the 35% threshold, indicating strong repayment capacity. The disposable income is £2612.58, which is significantly above the £600 threshold, demonstrating financial resilience. The credit score of 632 falls below the automatic approval threshold but is offset by a stable employment history of 6.9 years, which qualifies for an exception under the creditworthiness assessment. All documentation is verified, and the loan amount is 17.88% of the annual income, which is within the acceptable range. No rules are breached, and no exceptions are invoked that would require manual review.",48511,217,632,6.9,1213,8673,True,True,True,0.0537,2612.58,649,634,632
8,Applicant 8,run_0,SESL,DECLINED,Credit score below 640,48511,217,632,6.9,1213,8673,True,True,True,0.0537,2612.58,649,634,632
9,Applicant 9,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 21.19%, which is well below the 35% threshold for strong repayment capacity. The disposable income is £3,245, significantly above the £600 threshold for financial resilience. The credit score of 689 falls into the manual review range, but the applicant's bureau scores are consistent with a spread of only 15 points, indicating no inconsistency. Employment history is stable at 4.3 years, and the loan amount is only 8.71% of the annual income, which is well within the acceptable range. All documentation is verified, and no exceptions or manual review triggers apply.",62640,1106,689,4.3,869,5458,True,True,True,0.2119,3245.0,711,719,704
9,Applicant 9,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,62640,1106,689,4.3,869,5458,True,True,True,0.2119,3245.0,711,719,704
10,Applicant 10,run_0,GPT,DECLINED,"The application must be declined due to a bureau score below 580. Bureau score 2 is 555, which is below the minimum threshold. Additionally, the bank statements are unverified, and the applicant does not meet the exception criteria for manual review as their credit score is below 620.",50767,400,615,4.9,1037,8231,True,False,True,0.0945,2793.58,638,555,633
10,Applicant 10,run_0,SESL,DECLINED,Required document unverified and no exception applies,50767,400,615,4.9,1037,8231,True,False,True,0.0945,2793.58,638,555,633
11,Applicant 11,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 17.63%, which is well below the 35% threshold for strong repayment capacity. The disposable income is £2980.17, significantly above the £600 threshold for financial resilience. The credit score of 660 falls within the range that requires manual review, but the applicant's strong affordability metrics and stable employment history of 2.3 years support approval. The loan amount is 20.06% of the annual income, which is within the acceptable range. All documentation is verified, and the bureau score spread is within acceptable limits. Therefore, the application meets all approval criteria.",53234,782,660,2.3,674,10679,True,True,True,0.1763,2980.17,652,691,652
11,Applicant 11,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,53234,782,660,2.3,674,10679,True,True,True,0.1763,2980.17,652,691,652
12,Applicant 12,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 32.56%, which is below the 35% threshold indicating strong repayment capacity. The disposable income is £1,175.5, well above the £600 threshold for financial resilience. The credit score is 766, reflecting strong credit behavior, and the bureau scores are consistent with no spread exceeding 120 points. Employment history is stable at 4.5 years, and the loan amount is 23.1% of annual income, which is within the acceptable range. All documentation is verified, and no exceptions or manual review triggers are present.",41898,1137,766,4.5,1179,9680,True,True,True,0.3256,1175.5,804,724,787
12,Applicant 12,run_0,SESL,APPROVED,All approval criteria met,41898,1137,766,4.5,1179,9680,True,True,True,0.3256,1175.5,804,724,787
13,Applicant 13,run_0,GPT,DECLINED,"The applicant's bureau score of 539 is below the minimum threshold of 580, indicating elevated risk. Additionally, the spread between the highest and lowest bureau scores is 58 points, which does not trigger a manual review, but the low score itself mandates a decline. No exceptions apply.",54632,801,582,4.4,1255,12562,True,True,True,0.1759,2496.67,567,539,597
13,Applicant 13,run_0,SESL,DECLINED,Credit score below 640,54632,801,582,4.4,1255,12562,True,True,True,0.1759,2496.67,567,539,597
14,Applicant 14,run_0,GPT,MANUAL REVIEW,"The applicant's credit score of 654 falls within the range of 640 to 699, which requires a closer look via manual review. Additionally, the bureau scores show a spread of 12 points, which is not a concern, but the credit score itself necessitates further assessment. All other criteria, including DTI ratio of 7.08% and disposable income of £3162.5, meet the approval thresholds. However, due to the credit score, manual review is required to ensure comprehensive evaluation.",57642,340,654,6.3,1301,6000,True,True,True,0.0708,3162.5,628,640,639
14,Applicant 14,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,57642,340,654,6.3,1301,6000,True,True,True,0.0708,3162.5,628,640,639
15,Applicant 15,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability, including a DTI of 27.82% and disposable income of £951.83. Their credit score of 771 and consistent bureau scores indicate low credit risk. With stable employment history of 2 years and no rule triggers, the application meets all approval criteria.",34462,799,771,2.0,1121,10535,True,True,True,0.2782,951.83,786,798,765
15,Applicant 15,run_0,SESL,APPROVED,All approval criteria met,34462,799,771,2.0,1121,10535,True,True,True,0.2782,951.83,786,798,765
16,Applicant 16,run_0,GPT,MANUAL REVIEW,"The applicant's bank statements are unverified, which typically requires a decline. However, the applicant has a strong financial profile with a credit score of 653 and an annual income of £28,831. Additionally, the DTI ratio is 11.57%, and the disposable income is £1,008.58, both indicating strong repayment capacity. The credit score falls into the manual review range (640-699), and the bureau score spread is 34, which does not trigger a review. Given these factors, the application should be routed to manual review for further consideration.",28831,278,653,7.3,1116,23759,True,False,True,0.1157,1008.58,674,664,640
16,Applicant 16,run_0,SESL,DECLINED,Required document unverified and no exception applies,28831,278,653,7.3,1116,23759,True,False,True,0.1157,1008.58,674,664,640
17,Applicant 17,run_0,GPT,MANUAL REVIEW,"The applicant's disposable income of £556.92 falls into the grey area requiring manual review, as it is between £300 and £599. Additionally, the loan amount requested is 63.7% of the applicant's annual income, which exceeds the 50% threshold for automatic approval and requires manual assessment. Despite a strong credit score of 749 and stable employment of 8.1 years, these factors necessitate further human judgment to determine repayment capacity.",29303,550,749,8.1,1335,18672,True,True,True,0.2252,556.92,709,769,746
17,Applicant 17,run_0,SESL,MANUAL REVIEW,Disposable income between £300 and £600,29303,550,749,8.1,1335,18672,True,True,True,0.2252,556.92,709,769,746
18,Applicant 18,run_0,GPT,APPROVED,"The applicant meets all approval criteria: The DTI ratio is 9.8%, well below the 35% threshold for strong repayment capacity. The disposable income is £3413.17, significantly above the £600 threshold for financial resilience. The credit score of 661 falls within the range that requires manual review, but the applicant's bureau scores are consistent with a spread of only 42 points, and no bureau score falls below 580. Employment stability is confirmed with 6.2 years of employment, and the loan amount is 37.1% of annual income, which is within the acceptable range for manual assessment but not excessive. All documentation is verified, and no exceptions or manual review triggers apply.",54266,443,661,6.2,666,20121,True,True,True,0.098,3413.17,700,703,661
18,Applicant 18,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,54266,443,661,6.2,666,20121,True,True,True,0.098,3413.17,700,703,661
19,Applicant 19,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability, including a DTI of 8.65% and disposable income of £1,294.75, both of which are well within the approval thresholds. Their credit score of 692 is slightly below the automatic approval threshold but does not fall into the decline range, and the bureau score spread is 56, which is below the 120-point inconsistency threshold. The applicant has stable employment history of 3.5 years, and the loan request is 30.5% of annual income, which is within acceptable limits. All documentation is verified, and no exceptions or manual review triggers apply. Therefore, the application meets all approval criteria.",28305,204,692,3.5,860,8644,True,True,True,0.0865,1294.75,661,717,676
19,Applicant 19,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,28305,204,692,3.5,860,8644,True,True,True,0.0865,1294.75,661,717,676
20,Applicant 20,run_0,GPT,DECLINED,"The applicant's credit score of 576 is below the minimum threshold of 580, which results in an automatic decline. Additionally, the bureau score spread is 79 points, which does not trigger a manual review, but the low credit score alone is sufficient for a decline decision. No exceptions apply.",63125,230,576,8.4,1008,15876,True,True,True,0.0437,4022.42,605,526,564
20,Applicant 20,run_0,SESL,DECLINED,Credit score below 640,63125,230,576,8.4,1008,15876,True,True,True,0.0437,4022.42,605,526,564
21,Applicant 21,run_0,GPT,DECLINED,"The applicant's disposable income is £8.75, which is below the required minimum of £300, resulting in a decline. Additionally, the DTI ratio of 44.09% is above the 35% threshold for automatic approval and falls into the manual review range, but the low disposable income overrides this. The credit score of 634 is below the 640 threshold for automatic approval and does not qualify for manual review due to lack of employment stability exception. No exceptions apply.",29229,1074,634,2.2,1353,23565,True,True,True,0.4409,8.75,647,694,619
21,Applicant 21,run_0,SESL,MANUAL REVIEW,DTI between 35% and 45%,29229,1074,634,2.2,1353,23565,True,True,True,0.4409,8.75,647,694,619
22,Applicant 22,run_0,GPT,DECLINED,"The applicant's bureau scores include one score below 580, specifically a score of 559, which indicates elevated risk and requires the application to be declined according to the policy. Additionally, the spread between the highest and lowest bureau scores is 53 points, which does not trigger a manual review, but the low score itself is a hard decline criterion.",57096,983,589,2.9,1135,8625,True,True,True,0.2066,2640.0,559,529,582
22,Applicant 22,run_0,SESL,DECLINED,Credit score below 640,57096,983,589,2.9,1135,8625,True,True,True,0.2066,2640.0,559,529,582
23,Applicant 23,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 25.35%, which is below the 35% threshold indicating strong repayment capacity. The disposable income is £2,518.83, well above the £600 threshold for financial resilience. The credit score of 677 falls within the range that requires manual review, but the consistent bureau scores (675, 675, 674) do not indicate any inconsistency. The applicant has stable employment with 5.5 years of employment history. The loan amount requested is 36.9% of the annual income, which is slightly above the 35% threshold but does not exceed 50%, and given the strong financial metrics, it does not necessitate manual review. All documentation is verified, and no exceptions are invoked.",53434,1129,677,5.5,805,19731,True,True,True,0.2535,2518.83,675,675,674
23,Applicant 23,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,53434,1129,677,5.5,805,19731,True,True,True,0.2535,2518.83,675,675,674
24,Applicant 24,run_0,GPT,DECLINED,"The applicant's credit score of 578 is below the minimum threshold of 580, which results in an automatic decline. Additionally, the bureau score spread is 80 points, which does not trigger a manual review, but the low credit score itself is a hard rule for decline. No exceptions apply.",49252,820,578,2.3,1109,17653,True,True,True,0.1998,2175.33,602,522,570
24,Applicant 24,run_0,SESL,DECLINED,Credit score below 640,49252,820,578,2.3,1109,17653,True,True,True,0.1998,2175.33,602,522,570
25,Applicant 25,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability, including a DTI of 25.6% and disposable income of £1910.5. Their credit score of 772 and consistent bureau scores indicate low credit risk. With stable employment history of 5.8 years and no rule triggers, the application meets all approval criteria.",44814,956,772,5.8,868,10655,True,True,True,0.256,1910.5,733,743,760
25,Applicant 25,run_0,SESL,APPROVED,All approval criteria met,44814,956,772,5.8,868,10655,True,True,True,0.256,1910.5,733,743,760
26,Applicant 26,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 24.71%, which is below the 35% threshold indicating strong repayment capacity. The disposable income is £1,740.5, well above the £600 threshold for financial resilience. The credit score of 746 reflects strong credit behavior, and the bureau scores are consistent with a spread of only 45 points, indicating no data inconsistency. Employment history is stable at 2.6 years, and the loan amount is 35.3% of annual income, which is within acceptable limits. All documents are verified, and no exceptions or manual review triggers are present.",48906,1007,746,2.6,1328,17259,True,True,True,0.2471,1740.5,758,803,759
26,Applicant 26,run_0,SESL,APPROVED,All approval criteria met,48906,1007,746,2.6,1328,17259,True,True,True,0.2471,1740.5,758,803,759
27,Applicant 27,run_0,GPT,DECLINED,"The applicant's DTI of 41.56% falls into the manual review range, but the disposable income of £303.58 is just above the minimum threshold for manual review. However, the bureau scores show a spread of 65 points, which is acceptable, but one score is below 580, specifically 563, which requires a decline. Additionally, the loan amount requested is 81.3% of the applicant's annual income, exceeding the 50% threshold for decline. No exceptions apply.",25207,873,601,1.6,924,20502,True,True,True,0.4156,303.58,587,563,628
27,Applicant 27,run_0,SESL,MANUAL REVIEW,DTI between 35% and 45%,25207,873,601,1.6,924,20502,True,True,True,0.4156,303.58,587,563,628
28,Applicant 28,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability, including a DTI of 15.08% and disposable income of £2716.25. Their credit score of 737 and consistent bureau scores indicate low credit risk. With stable employment history of 4.1 years and no rule triggers, the application meets all approval criteria.",52203,656,737,4.1,978,15829,True,True,True,0.1508,2716.25,716,745,713
28,Applicant 28,run_0,SESL,APPROVED,All approval criteria met,52203,656,737,4.1,978,15829,True,True,True,0.1508,2716.25,716,745,713
29,Applicant 29,run_0,GPT,DECLINED,"The applicant's credit score of 578 is below the minimum threshold of 580, which results in an automatic decline. Additionally, one of the bureau scores is also below 580, reinforcing the decision to decline due to elevated risk. No exceptions apply.",45628,482,578,1.3,987,21341,True,True,True,0.1268,2333.33,573,615,572
29,Applicant 29,run_0,SESL,DECLINED,Credit score below 640,45628,482,578,1.3,987,21341,True,True,True,0.1268,2333.33,573,615,572
30,Applicant 30,run_0,GPT,DECLINED,"The applicant's bureau score of 562 falls below the minimum threshold of 580, indicating elevated risk. Despite meeting other criteria, this low score necessitates a decline as per policy guidelines.",50111,1153,580,9.8,1286,11298,True,True,True,0.2761,1736.92,595,604,562
30,Applicant 30,run_0,SESL,DECLINED,Credit score below 640,50111,1153,580,9.8,1286,11298,True,True,True,0.2761,1736.92,595,604,562
31,Applicant 31,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability with a DTI of 16.62% and disposable income of £2513.17, both well within approval thresholds. Their credit score of 769 and consistent bureau scores indicate low credit risk. With stable employment history of 4.0 years and all documents verified, the application meets all approval criteria.",52214,723,769,4.0,1115,4524,True,True,True,0.1662,2513.17,807,730,792
31,Applicant 31,run_0,SESL,APPROVED,All approval criteria met,52214,723,769,4.0,1115,4524,True,True,True,0.1662,2513.17,807,730,792
32,Applicant 32,run_0,GPT,DECLINED,"The applicant's bureau score of 567 falls below the minimum threshold of 580, indicating elevated risk. This results in an automatic decline as per the policy, regardless of other financial metrics.",51209,454,581,5.6,819,16493,True,True,True,0.1064,2994.42,567,611,592
32,Applicant 32,run_0,SESL,DECLINED,Credit score below 640,51209,454,581,5.6,819,16493,True,True,True,0.1064,2994.42,567,611,592
33,Applicant 33,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 22.8%, which is well below the 35% threshold for strong repayment capacity. The disposable income is £2735.92, significantly above the £600 threshold for financial resilience. The credit score of 707 reflects strong credit behavior, and the bureau scores are consistent with no spread exceeding 120 points. Employment stability is confirmed with 6.9 years of employment, and the loan amount is 35.7% of annual income, which is within acceptable limits. All documentation is verified, and no exceptions or manual review triggers are present.",53099,1009,707,6.9,680,18967,True,True,True,0.228,2735.92,716,759,692
33,Applicant 33,run_0,SESL,APPROVED,All approval criteria met,53099,1009,707,6.9,680,18967,True,True,True,0.228,2735.92,716,759,692
34,Applicant 34,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 32.27%, which is below the 35% threshold indicating strong repayment capacity. The disposable income is £1260.33, well above the £600 threshold for financial resilience. The credit score of 657 falls within the range that requires manual review, but the applicant's strong affordability metrics and stable employment history of 4.4 years support approval. All documentation is verified, and the loan amount is within acceptable limits relative to income. No exceptions or manual review triggers apply.",34732,934,657,4.4,700,15025,True,True,True,0.3227,1260.33,681,632,651
34,Applicant 34,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,34732,934,657,4.4,700,15025,True,True,True,0.3227,1260.33,681,632,651
35,Applicant 35,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability, including a DTI of 19.26% and disposable income of £2846.25. Their credit score of 713 and consistent bureau scores indicate low credit risk. With stable employment history of 5.6 years and no rule triggers, the application meets all approval criteria.",55707,894,713,5.6,902,16800,True,True,True,0.1926,2846.25,738,714,713
35,Applicant 35,run_0,SESL,APPROVED,All approval criteria met,55707,894,713,5.6,902,16800,True,True,True,0.1926,2846.25,738,714,713
36,Applicant 36,run_0,GPT,MANUAL REVIEW,"The applicant's credit score of 625 falls between 620 and 639, which requires manual review despite their strong employment stability of 8.3 years and a DTI of 27.96%. Additionally, the bureau score spread is 36 points, which is within acceptable limits, but the lowest bureau score is 619, which is below the 640 threshold for automatic approval. Therefore, human judgment is required to assess the overall creditworthiness.",44981,1048,625,8.3,1137,12967,True,True,True,0.2796,1563.42,640,655,619
36,Applicant 36,run_0,SESL,DECLINED,Credit score below 640,44981,1048,625,8.3,1137,12967,True,True,True,0.2796,1563.42,640,655,619
37,Applicant 37,run_0,GPT,MANUAL REVIEW,"The applicant's ID could not be verified, which typically results in a decline. However, the applicant has a strong financial profile with a credit score of 685, a DTI ratio of 25.31%, and a disposable income of £2849.33. These factors warrant a manual review to consider the overall strength of the application despite the documentation issue.",56284,1187,685,2.9,654,6630,True,True,False,0.2531,2849.33,703,650,691
37,Applicant 37,run_0,SESL,DECLINED,Required document unverified and no exception applies,56284,1187,685,2.9,654,6630,True,True,False,0.2531,2849.33,703,650,691
38,Applicant 38,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 8.3%, which is well below the 35% threshold, indicating strong repayment capacity. The disposable income is £4077.92, significantly above the £600 threshold, demonstrating financial resilience. The credit score is 731, which reflects strong credit behavior. Employment duration is 1.3 years, which is stable, and all documentation is verified. The loan amount is 11% of the annual income, which is within the acceptable range. No rules are breached, and no exceptions are invoked.",61595,426,731,1.3,629,6801,True,True,True,0.083,4077.92,750,687,745
38,Applicant 38,run_0,SESL,MANUAL REVIEW,Employment between 1 and 2 years,61595,426,731,1.3,629,6801,True,True,True,0.083,4077.92,750,687,745
39,Applicant 39,run_0,GPT,MANUAL REVIEW,"The applicant's ID is not verified, which typically results in a decline. However, the applicant has a strong financial profile with a credit score of 683, a DTI ratio of 26.67%, and a disposable income of £1134.75. These factors qualify the application for manual review under the controlled exception for documentation issues. Additionally, the bureau score spread is 77 points, which does not trigger a manual review, and the applicant has stable employment of 7.1 years.",31269,695,683,7.1,776,4362,True,True,False,0.2667,1134.75,715,638,654
39,Applicant 39,run_0,SESL,DECLINED,Required document unverified and no exception applies,31269,695,683,7.1,776,4362,True,True,False,0.2667,1134.75,715,638,654
40,Applicant 40,run_0,GPT,APPROVED,"The applicant meets all approval criteria: a DTI of 6.45% indicates strong repayment capacity, and a disposable income of £2,696.83 shows financial resilience. The credit score of 661 is within the acceptable range, and the bureau score spread is 49, which does not indicate inconsistency. Employment stability is confirmed with 8.9 years of employment, and the loan amount is 38.8% of annual income, which is within the acceptable range for automatic approval. All documents are verified, and no exceptions are invoked.",52126,280,661,8.9,1367,20235,True,True,True,0.0645,2696.83,685,697,648
40,Applicant 40,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,52126,280,661,8.9,1367,20235,True,True,True,0.0645,2696.83,685,697,648
41,Applicant 41,run_0,GPT,APPROVED,"The applicant meets all approval criteria: DTI ratio is 26.14%, which is below the 35% threshold indicating strong repayment capacity. Disposable income is £1138, well above the £600 threshold for financial resilience. The credit score of 671 falls within the range that requires manual review, but the applicant's strong affordability metrics and stable employment history of 9.3 years support approval. All documentation is verified, and the loan amount is proportionate to income, being 25.2% of annual income, which is within the acceptable range. Bureau scores are consistent with a spread of 49 points, which does not trigger a manual review. Therefore, the application meets all approval criteria.",29520,643,671,9.3,679,7444,True,True,True,0.2614,1138.0,644,645,693
41,Applicant 41,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,29520,643,671,9.3,679,7444,True,True,True,0.2614,1138.0,644,645,693
42,Applicant 42,run_0,GPT,MANUAL REVIEW,"The applicant's credit score of 621 falls into the range requiring manual review (640-699). Additionally, the employment duration of 0.4 years is less than one year, which typically results in a decline. However, the applicant's DTI ratio of 16.82% and disposable income of £622.75 are strong, and the loan amount is within acceptable limits (16.6% of annual income). Given these mixed indicators, human judgment is required to assess the overall risk and repayment capacity.",27681,388,621,0.4,1296,4595,True,True,True,0.1682,622.75,606,657,640
42,Applicant 42,run_0,SESL,DECLINED,Credit score below 640,27681,388,621,0.4,1296,4595,True,True,True,0.1682,622.75,606,657,640
43,Applicant 43,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 25.41%, which is below the 35% threshold indicating strong repayment capacity. The disposable income is £1,902.83, well above the £600 threshold for financial resilience. The credit score of 683 falls into the manual review range, but the applicant's stable employment history of 7.8 years and consistent bureau scores (spread of 60 points) support approval. All documentation is verified, and the loan amount is 30.2% of annual income, which is within acceptable limits.",50014,1059,683,7.8,1206,15111,True,True,True,0.2541,1902.83,672,648,708
43,Applicant 43,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,50014,1059,683,7.8,1206,15111,True,True,True,0.2541,1902.83,672,648,708
44,Applicant 44,run_0,GPT,APPROVED,"The applicant meets all policy requirements. The DTI ratio is 15.41%, which is well below the 35% threshold for strong repayment capacity. The disposable income is £1391.33, indicating financial resilience. The credit score is 772, reflecting strong credit behavior, and the bureau scores are consistent with a spread of 80 points, which is below the 120-point threshold for inconsistency. Employment history is stable with 8.2 years, and the loan amount is 54.9% of annual income, which is within acceptable limits given the strong financial profile. All documentation is verified. No rules are breached, and no exceptions are invoked.",37684,484,772,8.2,1265,20676,True,True,True,0.1541,1391.33,794,714,770
44,Applicant 44,run_0,SESL,APPROVED,All approval criteria met,37684,484,772,8.2,1265,20676,True,True,True,0.1541,1391.33,794,714,770
45,Applicant 45,run_0,GPT,DECLINED,"The applicant's bureau score of 541 is below the minimum threshold of 580, indicating elevated risk. Additionally, the spread between the highest and lowest bureau scores is 77, which does not trigger a manual review, but the low score itself mandates a decline. No exceptions apply.",28469,679,592,4.9,1025,13409,True,True,True,0.2862,668.42,618,541,590
45,Applicant 45,run_0,SESL,DECLINED,Credit score below 640,28469,679,592,4.9,1025,13409,True,True,True,0.2862,668.42,618,541,590
46,Applicant 46,run_0,GPT,DECLINED,"The applicant's credit score of 579 is below the minimum threshold of 580, which indicates elevated risk and requires a decline. Additionally, one of the bureau scores is below 580, further supporting the decision to decline. No exceptions apply.",47535,882,579,5.2,845,24549,True,True,True,0.2227,2234.25,558,591,562
46,Applicant 46,run_0,SESL,DECLINED,Credit score below 640,47535,882,579,5.2,845,24549,True,True,True,0.2227,2234.25,558,591,562
47,Applicant 47,run_0,GPT,DECLINED,"The applicant's credit score of 573 is below the minimum threshold of 580, which indicates elevated risk and requires a decline. Additionally, one of the bureau scores is below 580, further supporting the decision to decline. No exceptions apply.",39577,1043,573,2.5,982,18639,True,True,True,0.3162,1273.08,551,561,592
47,Applicant 47,run_0,SESL,DECLINED,Credit score below 640,39577,1043,573,2.5,982,18639,True,True,True,0.3162,1273.08,551,561,592
48,Applicant 48,run_0,GPT,MANUAL REVIEW,"The applicant's credit score of 691 falls into the manual review range (640-699). Additionally, the employment duration of 0.7 years is less than the required 1 year for automatic approval, necessitating further review. Despite a strong DTI of 15.78% and high disposable income of £2729.92, the credit score and employment stability require human judgment to assess overall risk.",49823,655,691,0.7,767,17298,True,True,True,0.1578,2729.92,722,668,684
48,Applicant 48,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,49823,655,691,0.7,767,17298,True,True,True,0.1578,2729.92,722,668,684
49,Applicant 49,run_0,GPT,DECLINED,"The applicant's credit score of 573 is below the minimum threshold of 580, which indicates elevated risk and requires a decline. Additionally, the applicant has less than one year of employment, which typically results in a decline unless they meet high-earning and strong-credit exceptions, which they do not.",42297,720,573,0.7,767,6100,True,True,True,0.2043,2037.75,611,616,581
49,Applicant 49,run_0,SESL,DECLINED,Credit score below 640,42297,720,573,0.7,767,6100,True,True,True,0.2043,2037.75,611,616,581
